"","studyno","version","id_cocas","caseno","intno","year","weight","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v48","v49","v50","v51","v49_filt","v50_filt","v51_filt","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","f69","v69","v70","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","o2","f86","v86","v87","v88","v89","v90","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103","v104","v105","v106","v107","v108","v109","v110","v111","v112","v113","v114","v115","v116","v117","v118","v119","v120","v121","o7","v122","v123","v124","v125","v126","o9","v127","v128","v129","v130","v131","v132","v133","v134","v135","v136","v137","v138","v139","v140","v141","v142","v143","v144","v145","v146","v147","v148","v149","v150","v151","v152","v153","v154","v155","v156","v157","v158","v159","v160","v161","v162","v163","v164","v165","v166","v167","v168","v169","v170","v171","v172","v173","f174","v174","v177","o17","v178","v179","v180","v181","v182","v183","v184","v185","v186","v187","v188","v189","o18","o20","v190","v191","v191_4","v192","v193","v194","v195","v196","v197","v198","v199","v200","v201","v202","v203","v204","v205","v206","v207","v208","v209","o26","v210","v211","v212","o28","o29","o30","v213","v214","v215","v216","v217","v218","v219","v220","v221","v222","v223","v224","v225","v226","v227","v228","v229","v230","v231","v232","v233","v234","v235","v236","v237","v238","v239","v240","v241","v242","o33","o37","o38","v243","v244","v245","v246","v247","v248","v249","v250","o39","o40","o41","v251","v252","v253","v254","v255","v256","v257","v258","v259","v260","v261","v262","v263","v264","v265","v266","v267","v268","v269","v270","v271","v272","v273","v274","v275","v276","v277","v278","v279","v280","v281","v282","v283","v284","v285","v286","v287","v288","v289","v290","v291","v292","age","age_r","age_r2","v293","v294","v295","v296","v297","v298","v299","v300","v301","v302","v303","v303_r","v304","v304_be","v304_r","v305","v306","v307","v308","v308_r","v309","v309_r","v310","v310_r","v310_r2","v311","v311_2","v311_3","v312","v314","v315","v316","v317","v317_2","v317_3","v318","v320","v320_r","o49","v322","v323","o50","o51","o52","o52_r","o53","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c32","c33","language","v324","v325"
"595",3784,"3.1.0 (2012-12-28)",199905600595,2368,92222,1999,0.291932885242383,1,1,1,1,2,3,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,NA,NA,2,NA,NA,0,0,1,1,1,0,1,0,0,0,1,0,0,1,2,5,8,0,2,4,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,7,5,2,4,3,3,3,4,1,2,1,1,2,2,NA,2,NA,8,8,0,0,NA,3,0,0,1,0,0,0,0,0,0,0,0,9,4,1,2,2,7,4,2,1,4,2,4,1,1,2,2,1,3,2,3,2,2,2,2,2,2,2,2,1,1,2,2,3,2,2,3,3,NA,2,2,2,3,2,1,1,0,0,1,0,1,1,0,0,1,0,0,1,3,1,1,2,2,2,2,1,6,8,3,5,5,5,9,1,4,2,1,1,1,1,1,1,1,3,4,2,2,3,3,3,3,3,NA,3,2,2,2,3,2,2,NA,3,6,6,3,NA,4,2,2,3,3,3,2,2,3,1,1,4,3,1,5,9,4,9,2,2,2,4,2,1,2,3,4,2,3,3,3,3,2,2,2,3,3,3,3,3,2,5,1,2,5613,NA,2,2,2,1,2,2,2,3,2,3,4,3,4,3,3,3,3,3,1,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1971,28,2,1,2,NA,2,5,NA,NA,1,0,0,0,23,10,7,9,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,4100,41,410,5,NA,1,NA,NA,NA,NA,NA,5604,2,2,5,56003,19051999,1,0,60,1,3,8,NA,NA,NA,NA,3,3,4,3,2,NA,2,2,3,2,2,NA,3,3,3,3,3,NA,2,3,0.805424801748728,5602,199903,199906
"596",3784,"3.1.0 (2012-12-28)",199905600596,2371,92222,1999,0.442268353692961,4,1,1,2,4,1,3,2,4,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,3,1,NA,3,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,9,10,0,2,4,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,2,NA,NA,2,2,2,2,4,2,1,1,1,2,2,1,2,1,1,2,8,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,9,2,10,1,1,1,1,2,NA,4,2,2,2,1,1,3,1,3,2,3,1,2,1,3,2,2,1,1,1,2,2,1,NA,2,2,1,1,1,2,2,2,3,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,4,0,1,3,3,3,3,1,NA,1,3,3,6,8,2,1,4,2,1,2,1,1,1,1,1,2,3,2,2,3,4,1,2,3,2,2,2,2,2,3,1,1,1,3,5,5,4,3,4,1,1,NA,2,2,2,5,1,1,1,1,5,1,NA,1,5,1,5,2,2,5,2,2,5,1,1,3,NA,NA,3,3,2,2,2,2,3,2,2,2,4,5,1,1,5613,NA,3,2,3,2,2,4,1,2,3,5,5,5,5,5,1,2,2,3,1,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1912,87,6,3,1,1,1,2,NA,1,1,0,0,0,15,4,4,5,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2300,23,230,5,NA,1,NA,NA,NA,NA,NA,5602,1,1,5,56003,24031999,0,50,50,1,NA,4,NA,NA,NA,NA,4,4,4,3,4,NA,3,3,3,3,3,NA,5,5,5,5,4,NA,1,3,1.22019107507239,5602,199903,199906
"597",3784,"3.1.0 (2012-12-28)",199905600597,2372,92222,1999,0.277782867921042,1,1,1,2,3,4,2,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,4,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5,7,0,5,NA,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,2,NA,NA,1,4,4,4,3,3,1,2,2,2,2,2,NA,1,1,8,8,0,0,NA,2,1,0,1,1,0,NA,0,0,NA,0,0,10,2,1,2,2,7,2,2,1,5,1,4,1,1,2,3,1,2,2,2,1,1,1,1,2,1,1,1,2,2,1,1,2,4,2,4,3,NA,1,2,1,2,NA,2,0,1,0,0,1,1,0,1,0,1,0,0,0,2,1,1,2,1,2,NA,1,NA,4,5,4,5,5,6,4,3,2,1,1,3,1,2,3,1,1,4,3,2,2,2,2,2,2,2,3,2,3,2,2,1,1,1,2,7,7,2,3,4,1,1,3,3,3,2,5,NA,1,NA,5,1,2,10,10,10,8,NA,1,1,3,NA,NA,3,1,1,NA,3,NA,NA,3,3,1,3,3,3,1,NA,2,3,4,1,3,5601,NA,NA,NA,3,1,1,3,2,3,1,2,3,3,3,3,2,4,3,3,1,1,1,2,2,2,2,2,3,3,2,2,2,2,2,2,1975,24,1,1,2,NA,2,5,NA,NA,3,0,0,0,NA,NA,6,8,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2300,23,230,5,NA,NA,2,5,56003,25051999,0,50,50,2,NA,1,NA,NA,NA,NA,3,3,1,3,2,NA,2,1,1,2,1,NA,3,3,NA,3,3,NA,NA,3,0.766385777808962,5602,199903,199906
"598",3784,"3.1.0 (2012-12-28)",199905600598,2374,92222,1999,0.290506766358335,2,1,2,3,3,2,3,3,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,3,4,4,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,7,7,0,4,3,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,5,6,3,4,3,4,3,5,2,3,2,2,2,1,1,2,NA,5,5,1,1,1,2,0,0,1,0,0,1,0,0,0,0,0,5,3,1,2,2,7,4,2,1,5,1,5,1,1,2,2,1,2,2,3,1,2,1,2,1,1,2,3,NA,NA,2,2,NA,4,1,4,3,3,2,2,2,NA,NA,2,0,1,0,1,0,1,0,1,0,1,0,0,NA,2,NA,1,3,1,1,3,3,6,7,7,5,5,5,6,2,4,3,1,3,3,1,3,3,1,3,3,3,4,2,4,2,3,3,3,3,4,4,2,2,2,2,2,3,4,NA,3,3,4,1,1,3,3,4,2,3,7,2,5,5,3,1,8,6,8,8,8,1,1,7,7,9,9,6,2,3,3,1,3,3,2,1,3,3,3,2,3,2,3,4,1,NA,5613,NA,NA,1,4,1,4,3,2,3,1,5,3,3,3,3,3,3,3,3,1,3,2,3,2,2,2,5,5,4,NA,NA,NA,NA,NA,2,1946,53,4,3,2,NA,2,2,2,4,3,0,0,0,21,10,7,9,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,2300,23,230,5,NA,1,NA,NA,NA,NA,NA,5609,3,4,5,56003,17031999,1,5,65,1,5,5,NA,NA,NA,NA,3,1,4,2,2,NA,2,NA,2,1,1,NA,3,NA,3,3,3,NA,1,3,0.801490227819173,5602,199903,199906
"599",3784,"3.1.0 (2012-12-28)",199905600599,2375,92222,1999,0.291932885242383,1,1,1,2,2,1,2,3,3,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,NA,3,1,NA,1,0,0,1,0,0,0,0,0,0,1,0,0,0,NA,9,10,0,5,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,8,6,2,3,4,2,5,4,1,2,2,2,2,1,1,2,NA,2,2,1,1,1,1,0,NA,1,NA,1,1,NA,1,1,0,0,NA,NA,10,1,1,1,NA,2,1,4,3,NA,5,1,2,2,1,2,3,3,1,2,2,3,2,1,2,3,1,1,2,2,3,2,1,4,NA,2,NA,NA,2,NA,1,2,0,0,1,0,1,1,0,1,0,1,0,0,NA,2,NA,1,NA,1,NA,NA,1,6,5,4,5,NA,5,7,4,2,3,1,1,3,1,3,3,1,NA,2,2,2,3,NA,2,NA,NA,NA,2,2,2,2,NA,2,1,2,NA,NA,NA,NA,NA,4,1,1,NA,NA,NA,2,2,2,1,1,2,4,1,4,5,7,7,4,2,1,1,9,6,2,2,1,5,3,2,1,4,3,2,3,3,3,3,4,4,NA,5,2,NA,NA,NA,3,2,3,1,1,2,2,4,1,2,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1965,34,2,2,1,1,2,1,2,3,2,0,2,1,23,10,8,12,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,2400,24,240,4,NA,1,NA,NA,NA,NA,NA,NA,NA,2,5,56003,20051999,0,55,55,1,3,5,NA,NA,NA,NA,1,1,3,4,3,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,3,0.805424801748728,5602,199903,199906
"600",3784,"3.1.0 (2012-12-28)",199905600600,2377,92222,1999,0.345193474731577,2,2,2,3,4,4,3,3,NA,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,5,9,0,4,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,2,NA,NA,3,4,2,2,2,3,1,1,1,NA,2,2,NA,1,1,8,2,1,1,1,2,0,1,0,NA,0,0,0,0,0,0,0,NA,1,3,2,2,7,4,2,1,4,3,5,2,1,1,3,1,3,2,3,1,1,1,1,1,2,1,1,1,NA,2,3,3,4,2,2,2,NA,2,2,2,3,1,1,1,0,1,1,0,0,0,0,0,1,0,1,NA,4,0,1,2,2,2,2,2,NA,2,8,2,2,8,2,4,2,3,1,1,1,NA,3,1,1,2,4,3,2,2,3,2,4,4,NA,NA,2,2,2,2,2,2,2,2,5,NA,3,3,4,2,2,2,2,3,2,5,6,2,2,7,6,2,7,6,7,6,NA,2,2,6,6,2,6,6,2,3,3,2,2,3,2,2,2,3,3,2,2,2,3,5,1,2,5618,NA,3,1,3,3,1,4,2,3,2,3,4,3,4,3,4,5,5,3,1,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1980,19,1,1,2,NA,NA,5,NA,NA,4,0,0,0,18,7,3,3,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,6100,61,610,11,NA,NA,4,5,56003,20051999,0,55,55,2,NA,8,NA,NA,NA,NA,4,4,3,5,3,NA,2,2,2,2,2,NA,3,3,3,3,3,NA,2,3,0.952367478983388,5602,199903,199906
"601",3784,"3.1.0 (2012-12-28)",199905600601,2378,92222,1999,0.33357937257706,2,1,1,2,2,2,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,NA,3,2,NA,3,1,0,1,1,1,0,1,0,0,0,1,0,0,1,2,8,9,0,4,NA,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,8,4,2,2,3,3,2,4,1,2,1,2,2,1,1,2,NA,6,2,1,1,1,1,1,1,NA,0,1,NA,NA,NA,NA,0,0,6,1,5,1,1,5,3,2,3,4,2,3,2,1,2,2,2,2,2,3,1,1,1,2,1,1,1,1,1,1,2,1,3,3,2,2,3,2,2,2,1,2,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0,1,2,2,2,2,2,6,5,5,5,5,4,6,4,3,2,1,1,1,1,1,1,1,3,1,2,2,3,2,3,3,2,3,2,2,2,2,3,2,1,2,2,6,6,3,NA,4,2,1,2,2,3,2,2,2,1,1,6,2,3,6,6,5,6,2,2,3,3,2,1,5,3,2,2,3,3,3,NA,2,2,2,3,3,2,3,2,3,5,1,2,5613,NA,2,1,1,1,1,3,2,2,1,2,2,2,3,3,2,2,3,3,1,2,2,2,2,2,2,3,3,2,3,2,3,3,3,2,1970,29,2,1,2,NA,1,3,NA,1,1,0,0,1,19,8,6,8,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,4100,41,410,5,NA,1,NA,NA,NA,NA,NA,5605,2,2,5,56003,20051999,1,5,65,2,5,5,NA,NA,NA,NA,4,4,4,3,3,NA,3,3,3,2,2,NA,4,4,4,4,4,NA,2,3,0.920324888380672,5602,199903,199906
"602",3784,"3.1.0 (2012-12-28)",199905600602,2380,92222,1999,0.375647058350679,2,2,2,3,4,4,3,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,6,6,0,1,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,NA,NA,2,4,3,2,4,2,1,1,1,2,1,2,NA,1,1,8,8,0,0,0,2,1,1,NA,1,1,0,0,0,0,0,0,NA,4,3,2,2,7,4,2,1,5,2,3,2,2,2,2,2,3,2,3,1,3,2,1,2,2,1,3,1,1,2,2,3,2,3,2,2,2,2,1,NA,NA,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,4,0,1,3,3,1,3,1,3,6,1,5,5,5,10,1,3,1,1,1,1,1,3,1,1,3,4,2,2,4,1,3,4,4,4,NA,3,3,2,NA,1,1,1,2,5,8,2,NA,3,2,2,NA,NA,2,2,2,2,2,1,4,4,2,3,2,6,3,1,2,NA,3,3,2,NA,2,2,NA,3,3,3,3,3,2,2,3,2,3,3,1,3,5,1,2,5611,NA,3,1,2,1,2,4,1,3,1,2,3,3,4,4,1,5,4,2,1,1,2,5,1,1,1,2,1,2,NA,NA,NA,NA,NA,1,1914,85,6,3,1,1,1,1,2,1,2,0,0,0,14,3,2,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,4100,41,410,5,NA,1,NA,NA,NA,NA,NA,5604,2,4,5,56003,25051999,1,10,70,2,NA,1,NA,NA,NA,NA,3,4,2,2,5,NA,2,2,1,1,3,NA,3,3,3,3,4,NA,2,3,1.03638703549408,5602,199903,199906
"603",3784,"3.1.0 (2012-12-28)",199905600603,2381,90265,1999,0.375647058350679,1,1,1,1,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,7,8,0,4,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2,NA,NA,1,5,4,4,5,2,1,1,2,2,1,1,1,2,NA,8,3,1,1,1,2,0,0,1,0,1,1,0,0,0,0,0,7,1,5,2,2,7,1,2,1,5,1,5,1,1,1,2,1,3,1,3,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,3,2,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,3,1,1,3,2,3,3,2,5,4,3,8,3,8,9,2,1,2,3,1,1,1,1,1,1,2,3,3,2,3,2,2,2,2,2,3,3,3,2,3,2,2,2,2,4,4,2,3,4,1,1,3,2,2,2,1,5,1,1,5,1,1,5,7,5,5,5,1,1,5,1,1,1,1,1,5,4,2,2,4,2,2,3,3,3,3,3,2,3,5,1,2,5611,NA,3,2,3,3,2,1,1,2,2,3,4,4,4,4,2,2,3,2,1,3,2,5,2,2,2,2,1,4,NA,NA,NA,NA,NA,1,1925,74,6,3,1,1,2,1,2,1,2,0,0,0,18,7,6,8,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1200,12,120,4,NA,1,NA,NA,NA,NA,NA,5606,2,2,5,56003,23031999,1,0,60,1,NA,5,NA,NA,NA,1,4,1,6,NA,3,6,3,1,3,2,2,3,4,NA,4,4,3,5,NA,3,1.03638703549408,5602,199903,199906
"604",3784,"3.1.0 (2012-12-28)",199905600604,2382,90265,1999,0.375647058350679,1,1,2,1,4,4,2,3,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,NA,NA,1,NA,NA,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,2,5,7,0,3,4,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,2,NA,NA,1,3,4,4,4,3,1,1,2,2,2,1,1,2,NA,8,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,3,2,2,2,7,NA,2,1,5,1,5,1,1,1,2,1,3,1,2,1,1,1,1,1,1,1,2,1,NA,2,2,1,4,4,1,3,3,NA,1,1,NA,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,3,NA,1,2,2,3,3,2,5,8,7,3,3,2,9,2,1,2,1,1,1,1,1,1,1,1,3,3,2,3,3,3,4,4,2,3,2,3,1,3,2,2,2,3,5,6,4,2,4,1,1,2,1,2,2,1,7,1,1,8,6,5,6,7,7,7,4,1,1,8,5,5,4,1,1,1,3,1,2,3,3,2,3,3,3,1,3,4,2,5,1,3,NA,NA,3,2,1,1,2,2,1,3,1,3,3,3,3,4,3,3,4,3,1,3,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1927,72,6,3,1,1,2,1,2,2,2,0,0,0,22,10,8,12,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2400,24,240,4,NA,1,NA,NA,NA,NA,NA,5606,2,NA,5,56003,19031999,0,50,50,2,NA,8,NA,NA,NA,1,4,2,6,5,3,5,2,1,3,3,2,2,2,2,4,4,3,5,2,3,1.03638703549408,5602,199903,199906
"605",3784,"3.1.0 (2012-12-28)",199905600605,2383,90265,1999,0.442268353692961,1,1,2,3,1,1,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,3,NA,NA,3,NA,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,7,7,0,4,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,2,NA,NA,1,4,4,2,2,1,1,1,3,1,2,1,1,2,NA,1,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,3,1,10,1,1,2,1,2,1,3,1,2,1,1,2,2,1,1,2,3,1,1,1,3,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,4,1,3,1,0,1,1,0,0,1,0,0,1,0,0,0,2,0,2,3,3,3,3,2,8,6,7,4,4,2,8,1,4,2,1,1,2,1,1,1,1,1,1,2,3,2,2,2,3,2,1,2,1,2,2,2,1,1,1,3,6,6,4,3,4,1,1,3,1,2,2,1,6,1,1,8,3,2,1,1,5,6,1,1,1,7,2,1,2,1,1,1,2,2,1,3,2,1,3,2,3,1,3,3,1,5,1,1,5612,NA,3,1,1,1,1,1,1,1,1,1,2,2,4,4,1,3,3,1,1,2,1,3,1,1,1,1,1,2,NA,NA,NA,NA,NA,2,1919,80,6,3,2,NA,1,2,2,0,1,0,0,0,18,7,6,8,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,1,NA,NA,NA,NA,NA,5602,1,2,5,56003,23031999,1,5,65,1,NA,5,NA,NA,NA,1,6,1,6,2,5,6,3,1,3,2,3,3,4,3,4,4,4,5,1,3,1.22019107507239,5602,199903,199906
"606",3784,"3.1.0 (2012-12-28)",199905600606,2384,90263,1999,0.277782867921042,2,1,1,2,2,3,3,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,8,7,0,3,4,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,2,NA,NA,3,5,5,4,2,4,2,1,2,2,1,2,NA,1,1,8,2,0,1,1,2,1,0,1,NA,0,0,0,0,0,0,0,10,4,2,2,2,NA,4,1,6,5,1,5,1,1,3,3,2,3,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,3,3,4,1,1,3,3,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,3,0,1,2,2,1,3,2,5,7,4,4,7,8,5,4,1,2,1,1,1,1,1,1,1,2,3,2,2,4,2,3,3,3,2,2,2,3,2,3,2,3,3,2,5,7,4,2,4,1,3,3,3,3,3,4,2,1,1,7,8,1,2,1,8,1,NA,6,1,2,5,6,1,6,1,1,2,1,1,3,3,1,3,2,1,1,3,2,3,5,1,2,NA,5614,2,2,2,2,2,3,1,5,1,3,3,3,4,3,2,3,4,2,1,3,2,3,2,2,3,1,5,3,NA,NA,NA,NA,NA,2,1981,18,1,1,2,NA,2,5,NA,0,3,0,0,0,19,8,6,8,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1200,12,120,2,5608,3,NA,5,56003,23031999,0,55,55,1,NA,1,NA,NA,NA,1,3,1,4,2,4,6,2,1,3,2,3,3,2,3,4,3,4,5,1,3,0.766385777808962,5602,199903,199906
"607",3784,"3.1.0 (2012-12-28)",199905600607,2385,90265,1999,0.442268353692961,1,1,2,3,4,3,2,2,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,NA,2,2,NA,2,2,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,4,7,0,2,4,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,2,NA,NA,1,1,1,1,4,2,1,1,1,2,2,2,NA,2,NA,3,2,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,7,1,6,2,2,7,1,2,1,5,1,5,1,2,2,1,1,2,1,3,1,1,1,3,1,1,1,1,1,2,2,3,3,4,4,1,2,2,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,3,0,1,3,3,3,3,2,7,7,8,8,6,3,9,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,4,1,2,2,2,2,1,3,1,2,1,1,1,2,3,5,4,4,4,1,1,NA,1,2,NA,1,1,1,1,1,6,1,1,1,7,3,1,1,1,6,1,1,1,1,1,1,4,3,2,3,2,2,2,3,4,2,3,3,1,2,1,1,5613,NA,3,1,1,1,1,1,1,2,1,3,4,3,3,4,4,3,4,2,1,1,1,4,1,1,1,1,1,1,NA,NA,NA,NA,NA,2,1912,87,6,3,2,NA,1,2,2,0,1,0,0,0,20,9,7,9,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2200,22,220,4,NA,1,NA,NA,NA,NA,NA,5602,1,3,5,56003,22031999,1,10,70,1,NA,5,NA,NA,NA,1,6,1,3,1,2,6,3,1,3,2,2,2,4,NA,4,3,3,NA,1,3,1.22019107507239,5602,199903,199906
"608",3784,"3.1.0 (2012-12-28)",199905600608,2386,90265,1999,0.343778286377841,1,1,1,1,4,4,2,3,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,4,2,4,NA,2,0,0,0,1,0,0,1,1,1,0,1,0,0,1,2,8,8,0,4,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,8,10,2,3,4,2,2,3,1,2,2,2,2,2,NA,2,NA,8,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,NA,4,1,2,2,7,4,2,1,5,1,5,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,2,1,2,2,1,2,4,3,3,3,2,2,3,2,3,2,3,1,0,1,1,0,1,1,0,0,0,0,0,1,3,1,1,2,3,3,3,2,6,3,5,3,5,7,3,1,3,1,1,1,1,1,1,1,1,1,4,3,2,3,3,3,3,4,3,3,2,2,2,3,1,1,3,2,6,6,4,3,4,2,1,3,2,3,2,4,8,1,1,8,4,4,6,7,6,7,1,1,1,10,4,5,5,1,1,1,3,2,2,3,3,2,2,2,3,2,2,2,1,3,1,NA,NA,NA,3,2,3,3,3,1,1,3,1,4,4,4,4,3,3,3,3,3,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1961,38,3,2,1,1,2,1,2,2,2,0,2,0,23,10,8,12,3,2,3,NA,NA,NA,NA,NA,0,0,1,3100,31,310,2,NA,2,1,3100,31,310,3,5610,3,1,5,56003,22031999,1,5,65,2,4,8,NA,NA,NA,1,4,2,6,4,4,5,2,1,3,2,2,3,3,3,3,3,3,4,2,3,0.948463061711937,5602,199903,199906
