EntryCountry,COUNTRY,GDP (BILLIONS),CODE
Italy,Italy,2129,ITA
,Jamaica,13.92,JAM
Japan,Japan,4770,JPN
,Jersey,5.77,JEY
Jordan,Jordan,36.55,JOR
,Kazakhstan,225.6,KAZ
Kenya,Kenya,62.72,KEN
,Kiribati,0.16,KIR
,"Korea, North",28,PRK
Republic of Korea,"Korea, South",1410,KOR
,Kosovo,5.99,KSV
,Kuwait,179.3,KWT
,Kyrgyzstan,7.65,KGZ
Lao People's Democratic Republic,Laos,11.71,LAO
Latvia,Latvia,32.82,LVA
Lebanon,Lebanon,47.5,LBN
,Lesotho,2.46,LSO
Liberia,Liberia,2.07,LBR
,Libya,49.34,LBY
,Liechtenstein,5.11,LIE
Lithuania,Lithuania,48.72,LTU
,Luxembourg,63.93,LUX
,Macau,51.68,MAC
,Macedonia,10.92,MKD
Madagascar,Madagascar,11.19,MDG
Malawi,Malawi,4.41,MWI
Malaysia,Malaysia,336.9,MYS
,Maldives,2.41,MDV
,Mali,12.04,MLI
,Malta,10.57,MLT
,Marshall Islands,0.18,MHL
,Mauritania,4.29,MRT
,Mauritius,12.72,MUS
Mexico,Mexico,1296,MEX
,"Micronesia, Federated States of",0.34,FSM
Republic of Moldova,Moldova,7.74,MDA
Monaco,Monaco,6.06,MCO
Mongolia,Mongolia,11.73,MNG
Montenegro,Montenegro,4.66,MNE
Morocco,Morocco,112.6,MAR
Mozambique,Mozambique,16.59,MOZ
Namibia,Namibia,13.11,NAM
,Nepal,19.64,NPL
Netherlands,Netherlands,880.4,NLD
,New Caledonia,11.1,NCL
New Zealand,New Zealand,201,NZL
,Nicaragua,11.85,NIC
Nigeria,Nigeria,594.3,NGA
,Niger,8.29,NER
,Niue,0.01,NIU
,Northern Mariana Islands,1.23,MNP
Norway,Norway,511.6,NOR
,Oman,80.54,OMN
Pakistan,Pakistan,237.5,PAK
,Palau,0.65,PLW
State of Palestine,Palestine,0,PSE
Panama,Panama,44.69,PAN
,Papua New Guinea,16.1,PNG
Paraguay,Paraguay,31.3,PRY
Peru,Peru,208.2,PER
Philippines,Philippines,284.6,PHL
Poland,Poland,552.2,POL
Portugal,Portugal,228.2,PRT
,Puerto Rico,93.52,PRI
,Qatar,212,QAT
Romania,Romania,199,ROU
Russian Federation,Russia,2057,RUS
,Rwanda,8,RWA
,Saint Kitts and Nevis,0.81,KNA
,Saint Lucia,1.35,LCA
,Saint Martin,0.56,MAF
,Saint Pierre and Miquelon,0.22,SPM
,Saint Vincent and the Grenadines,0.75,VCT
,Samoa,0.83,WSM
,San Marino,1.86,SMR
,Sao Tome and Principe,0.36,STP
,Saudi Arabia,777.9,SAU
Senegal,Senegal,15.88,SEN
,Serbia,42.65,SRB
,Seychelles,1.47,SYC
Sierra Leone,Sierra Leone,5.41,SLE
Singapore,Singapore,307.9,SGP
,Sint Maarten,304.1,SXM
,Slovakia,99.75,SVK
Slovenia,Slovenia,49.93,SVN
,Solomon Islands,1.16,SLB
,Somalia,2.37,SOM
South Africa,South Africa,341.2,ZAF
,South Sudan,11.89,SSD
Spain,Spain,1400,ESP
,Sri Lanka,71.57,LKA
,Sudan,70.03,SDN
,Suriname,5.27,SUR
,Swaziland,3.84,SWZ
Sweden,Sweden,559.1,SWE
Switzerland,Switzerland,679,CHE
,Syria,64.7,SYR
"Taiwan, Greater China",Taiwan,529.5,TWN
,Tajikistan,9.16,TJK
United Republic of Tanzania,Tanzania,36.62,TZA
Thailand,Thailand,373.8,THA
,Timor-Leste,4.51,TLS
Togo,Togo,4.84,TGO
,Tonga,0.49,TON
,Trinidad and Tobago,29.63,TTO
Tunisia,Tunisia,49.12,TUN
Turkey,Turkey,813.3,TUR
,Turkmenistan,43.5,TKM
,Tuvalu,0.04,TUV
Uganda,Uganda,26.09,UGA
,Ukraine,134.9,UKR
United Arab Emirates,United Arab Emirates,416.4,ARE
United Kingdom of Great Britain and Northern Ireland,United Kingdom,2848,GBR
United States of America,United States,17420,USA
Uruguay,Uruguay,55.6,URY
,Uzbekistan,63.08,UZB
,Vanuatu,0.82,VUT
Venezuela (Bolivarian Republic of),Venezuela,209.2,VEN
Viet Nam,Vietnam,187.8,VNM
,Virgin Islands,5.08,VGB
,West Bank,6.64,WBG
,Yemen,45.45,YEM
Zambia,Zambia,25.61,ZMB
Zimbabwe,Zimbabwe,13.74,ZWE
